,index,url,标题,地址,优势1,优势2,优势3,总价,户型,建筑面积,单价,总楼层,ID,小区,有无电梯,住宅类别,建筑结构,建筑类别,挂牌时间,参考均价,同比去年,环比上月,挂牌房源,物业类型,物业费用,建筑年代,绿  化  率,容  积  率,人车分流,总楼栋数,总  户  数,产权年限,卧室,客厅,卫生间,区域_北塘区,区域_南长区,区域_崇安区,区域_惠山区,区域_新区,区域_新吴区,区域_梁溪区,区域_江阴市,区域_滨湖区,区域_经开区,区域_锡山区,楼层层次_中层,楼层层次_低层,楼层层次_底层,楼层层次_顶层,楼层层次_高层,装修_暂无,装修_毛坯,装修_简装修,装修_精装修,装修_豪华装修,朝向_东,朝向_东北,朝向_东南,朝向_北,朝向_南,朝向_南北,朝向_西,朝向_西北,朝向_西南,产权性质_个人产权,产权性质_商品房,产权性质_经济适用房,建筑类型_塔楼,建筑类型_板塔结合,建筑类型_板楼
10,10,https://wuxi.esf.fang.com/chushou/3_172840696.htm,5万!九龙仓碧玺旁!复地悦城!自住精装三房!价格好谈,清扬版块-通扬路与新光路交叉口南侧,满二,优质教育,距1号线华清大桥站约715米,195.0,3室2厅1卫,112,17333,33.0,172840696,复地悦城,1,普通住宅,平层,板楼,19515.0,19348.0,↓8.57%,↓1.54%,5 套在售二手房,住宅,1.95,2014,45,1.8,0,10,1737.0,70,3.0,2.0,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
11,11,https://wuxi.esf.fang.com/chushou/3_172796658.htm,"1万1平!靖海地铁口,精装1楼带双院,直接拎包入住,房东急售",上马墩-无锡市江海南路50号,满二,优质教育,距2号线靖海站约381米,100.0,3室2厅2卫,60,16667,6.0,172796658,靖海新村,0,普通住宅,平层,板楼,19571.0,12926.0,↑0.09%,↓1.26%,4 套在售二手房,住宅,0.3,1992,30,2.0,0,74,2364.0,70,3.0,2.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
12,12,https://wuxi.esf.fang.com/chushou/3_172801226.htm,"精装4房,南北通透,全明户型,东林可用,房东急售,看房方便",南禅寺-塘南路与太湖大道交汇处114号,满二,[],[],430.0,4室2厅2卫,143,29965,25.0,172801226,九龙仓御玺,0,普通住宅,平层,板楼,19571.0,29466.0,↑1.24%,↓4.44%,19 套在售二手房,住宅,2.75,2018,30,2.67,0,26,2167.0,70,4.0,2.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
13,13,https://wuxi.esf.fang.com/chushou/3_172866986.htm,新出房源 太湖雍华府 房东急售 太科园 急急急,新安-菱湖大道与清晏路交界处,[],[],[],165.0,3室2厅2卫,98,16837,28.0,172866986,太湖雍华府,1,普通住宅,平层,板楼,19542.0,20417.0,↑13.05%,↓1.61%,8 套在售二手房,住宅,3.2,2021,35,2.0,0,23,148.0,70,3.0,2.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
14,14,https://wuxi.esf.fang.com/chushou/3_172857991.htm,省锡中旁 南北通透大两房 看房随时 房东诚意出售,惠山新城-华惠路与惠緑路交叉口东北面,满五,优质教育,距1号线锡北运河站约769米,140.0,2室2厅1卫,89,15730,1.0,172857991,理想城市花园,1,普通住宅,,板楼,19533.0,18986.0,↓15.66%,↓3.55%,46 套在售二手房,住宅,1.2,2006,40,1.3,0,66,4085.0,70,2.0,2.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
15,15,https://wuxi.esf.fang.com/chushou/3_172313825.htm,经开区捡漏 小高层 地铁口三开南中层90平218万 玉兰花园,滨湖新城区-信成道与观山路交汇处(迪卡侬斜对面),满二,距1号线文化宫站约446米,[],218.0,3室2厅1卫,90,24222,33.0,172313825,融创瑷颐湾,1,普通住宅,平层,钢混,19495.0,30666.0,↓7.54%,↓1.27%,26 套在售二手房,住宅,2.93,2018,33,2.1,0,20,1457.0,70,3.0,2.0,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
16,16,https://wuxi.esf.fang.com/chushou/3_172627829.htm,急售.梅村口万科渠道清退一套特价三房两卫.先到先得,梅村-万科梅里上城,[],[],[],215.0,3室2厅2卫,114,18761,27.0,172627829,万科梅里上城,1,普通住宅,平层,板楼,19534.0,20028.0,↓5.75%,↓1.55%,,住宅,3.3,2021,30,2.0,0,15,1082.0,70,3.0,2.0,2.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
17,17,https://wuxi.esf.fang.com/chushou/3_172901255.htm,连元街 精装修小三房 90平246万一口价 非顶底楼,山北-规划道路与运河西路交叉口西南侧,[],距3号线石门路站约816米,[],246.0,3室2厅2卫,90,27333,33.0,172901255,山河万象,1,普通住宅,平层,板楼,19573.0,18605.0,暂无资料,暂无资料,,住宅,3.6,2021,30,2.0,0,10,697.0,70,3.0,2.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
18,18,https://wuxi.esf.fang.com/chushou/3_172672718.htm,"54万可卖!靖海地铁口,南北竖套,房东换房急售,价格可谈",上马墩-上马墩路上(靖海医院附近),满二,优质教育,距2号线靖海站约546米,54.0,2室1厅1卫,50,10800,6.0,172672718,塔影二村,0,普通住宅,平层,板楼,19531.0,12164.0,↓1.18%,↓1.65%,2 套在售二手房,住宅,0.4,1988,30,1.58,0,44,1894.0,70,2.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
19,19,https://wuxi.esf.fang.com/chushou/3_172866276.htm,"4楼简装3房,两房朝南,客厅带窗,全明户型,房东换房急售",学前东路-学前东路和江海高架交汇处华东商贸城旁,满二,优质教育,距3号线东风站约529米,82.0,3室1厅1卫,80,10130,7.0,172866276,宁海里一期,0,普通住宅,平层,板楼,19541.0,12105.0,↓6.01%,↑0.3%,4 套在售二手房,住宅,0.1,1994,30,2.0,0,61,2744.0,70,3.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
20,20,https://wuxi.esf.fang.com/chushou/3_172884560.htm,"低于市场价20万精装电梯小高层,南北通透,全明户型看房有钥匙",柏庄-新明路27号,满二,[],[],170.0,3室2厅2卫,124,13659,18.0,172884560,中大诺卡小镇,0,普通住宅,平层,板楼,19562.0,16064.0,↓6.75%,↓0.62%,10 套在售二手房,住宅,1.3,2009,43,1.5,0,73,3406.0,70,3.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
21,21,https://wuxi.esf.fang.com/chushou/3_172790912.htm,"商品房,无土出!总高11楼的8楼,两房朝南,客厅带一大飘窗",广益-广南路626号附近,满二,优质教育,[],120.0,2室2厅1卫,102,11765,11.0,172790912,广益佳苑二期,0,普通住宅,平层,板楼,19537.0,12477.0,↓2.67%,↓0.07%,8 套在售二手房,住宅,0.5,2007,30,2.0,0,48,2577.0,70,2.0,2.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
22,22,https://wuxi.esf.fang.com/chushou/3_172828952.htm,低于市场价10万 九龙仓时代上城 小区房龄新 拎包入住,中桥-清名路清宁大桥南堍,满二,优质教育,[],215.0,3室2厅1卫,106,20124,32.0,172828952,九龙仓时代上城,0,普通住宅,平层,板楼,19502.0,21702.0,↓3.67%,↓0.29%,33 套在售二手房,住宅,2.75,2016,36,2.49,0,53,6695.0,70,3.0,2.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
23,23,https://wuxi.esf.fang.com/chushou/3_172902225.htm,大华公园荟 3房2厅2卫 全明户型 精装毛坯可选 车接车送,钱桥-钱洛路与上伟路交汇处,[],[],[],130.0,3室2厅2卫,105,12381,18.0,172902225,大华公园荟,1,普通住宅,平层,板楼,19574.0,18605.0,暂无资料,暂无资料,4 套在售二手房,住宅,3.22,2022,30,2.2,0,9,572.0,70,3.0,2.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
24,24,https://wuxi.esf.fang.com/chushou/3_172902230.htm,雅居乐远洋公园里 3室2厅1卫 精装修 143万元,坊前-泰山路与海泰一支路交叉口东北侧,[],[],[],143.0,3室2厅1卫,89,16049,18.0,172902230,雅居乐远洋公园里,1,普通住宅,平层,板楼,19574.0,19135.0,↓6.26%,↑1%,,住宅,3.3,2023,30,1.8,0,12,888.0,70,3.0,2.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
25,25,https://wuxi.esf.fang.com/chushou/3_172887648.htm,"商品房,扬名滨河,建乐家园(建乐苑) 2室2厅1卫,毛坯",中桥-盛北许巷94号202室,满二,[],[],117.0,2室2厅1卫,85,13684,33.0,172887648,建乐家园,1,普通住宅,平层,板楼,19566.0,12092.0,↓19.43%,↓1.42%,7 套在售二手房,住宅,1.6,1995,20,2.0,0,10,1466.0,70,2.0,2.0,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
26,26,https://wuxi.esf.fang.com/chushou/3_172887670.htm,"包凸出精装修,拎包入住,配套齐全,诚心出售",中桥-盛北许巷94号202室,[],[],[],146.0,2室1厅1卫,91,15916,33.0,172887670,建乐家园,1,普通住宅,平层,板楼,19566.0,12092.0,↓19.43%,↓1.42%,7 套在售二手房,住宅,1.6,1995,20,2.0,0,10,1466.0,70,2.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
27,27,https://wuxi.esf.fang.com/chushou/3_172892221.htm,锡东天一 映月湖畔 业主新房已定 急售 看房方便 采光好,安镇-山河路28号,满五,优质教育,距2号线映月湖公园站约673米,155.0,3室2厅1卫,91,16994,22.0,172892221,映月华府,1,普通住宅,平层,板楼,19569.0,21977.0,↓13.36%,↓0.47%,16 套在售二手房,住宅,2.3,2016,30,1.49,0,61,1042.0,70,3.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
28,28,https://wuxi.esf.fang.com/chushou/3_172887156.htm,新出低市价天一房好楼!看好可谈带中央空调,安镇-东翔路528号,满二,优质教育,距2号线无锡东站约714米,147.6,2室2厅1卫,89,16497,32.0,172887156,红豆香江豪庭,1,普通住宅,平层,板楼,19565.0,18605.0,暂无资料,暂无资料,21 套在售二手房,住宅,2.5,2015,32,2.82,0,18,2299.0,70,2.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
29,29,https://wuxi.esf.fang.com/chushou/3_172892230.htm,房源实地拍摄 华夏天一旁 价格可谈 户型方正 急售,安镇-商务区和祥路南、弘业东路东,满二,距2号线映月湖公园站约635米,[],170.0,2室2厅1卫,86,19761,27.0,172892230,美的公园天下,1,普通住宅,平层,板楼,19569.0,25463.0,↓10.5%,↓0.72%,16 套在售二手房,住宅,2.5,2019,30,2.0,0,25,1232.0,70,2.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
30,30,https://wuxi.esf.fang.com/chushou/3_172899331.htm,好采光一号线锡北运河小三房 全天采光 绿地四期边套直面运河,惠山新城-惠山大道1528、1550号,满五,优质教育,距1号线锡北运河站约343米,158.0,3室2厅1卫,100,15800,33.0,172899331,绿地世纪城,1,普通住宅,平层,板楼,19572.0,19387.0,↓15.93%,↓1.83%,127 套在售二手房,住宅,1.7,2015,35,0.99,0,137,6232.0,70,3.0,2.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
31,31,https://wuxi.esf.fang.com/chushou/3_172898774.htm,50万|天一外国语双!都荟高品质精装三房!清盘特价!,刘潭-凤宾路与林新路交叉口,[],距1号线刘潭站约226米,[],218.0,3室2厅2卫,116,18793,18.0,172898774,碧桂园都荟,1,普通住宅,平层,板楼,19571.0,19495.0,↓3.76%,↓10.46%,13 套在售二手房,住宅,3.2,2023,35,2.5,0,16,1318.0,70,3.0,2.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
32,32,https://wuxi.esf.fang.com/chushou/3_172898770.htm,力荐山水城 信义山水嘉庭 现房小洋楼 绿城物业 江南长广溪旁,蠡湖新城区-状元道3号,[],[],[],383.0,3室2厅3卫,141,27027,6.0,172898770,信义山水嘉庭,0,普通住宅,平层,板楼,19571.0,30798.0,↑11.35%,↑0.58%,,住宅,3.9,2021,35,1.5,0,21,608.0,70,3.0,2.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
33,33,https://wuxi.esf.fang.com/chushou/3_172881115.htm,无锡滨湖万达广场D区 南北大3居 采光好 随时看 金地华著、,河埒-青祁路和梁溪路交叉西南角(河埒中心商务区),满五,优质教育,距2号线河埒口站约671米,340.0,3室2厅2卫,143,23728,25.0,172881115,无锡滨湖万达广场,1,普通住宅,平层,板楼,19557.0,22312.0,↓3.4%,↓2.91%,64 套在售二手房,住宅,1.95,2010,35,2.99,0,18,3574.0,70,3.0,2.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
34,34,https://wuxi.esf.fang.com/chushou/3_172858082.htm,"中城誉品精装三房,自住装修保养好,中间楼层视野开阔拎包入住",河埒-梁溪路南侧、孙蒋路西侧,满五,距2号线大王基站约278米,[],220.0,3室2厅1卫,88,25000,27.0,172858082,中城誉品,0,普通住宅,平层,板楼,19533.0,24222.0,↓3.76%,↓0.16%,44 套在售二手房,住宅,2.3,2016,30,3.1,0,30,4108.0,70,3.0,2.0,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
35,35,https://wuxi.esf.fang.com/chushou/3_172880901.htm,"满五年,全新没住过人。钥匙房。阳光直照时间很长,价格可沟通",河埒-梁溪路8号(滨湖区美丽都向北200米),满五,距2号线大王基站约280米,[],460.0,3室2厅2卫,170,27059,32.0,172880901,华润悦府,1,普通住宅,平层,板楼,19557.0,26885.0,↑0.79%,↑1.24%,20 套在售二手房,住宅,4.0,2014,37,2.48,0,16,2035.0,70,3.0,2.0,2.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
36,36,https://wuxi.esf.fang.com/chushou/3_172862917.htm,"超大平层(120万豪装)背山面水,价格可谈。",河埒-香雪路与渔港路交叉口的西北侧,满五,优质教育,距2号线梅园开原寺站约468米,570.0,暂无,200,28463,11.0,172862917,栖霞栖园,0,普通住宅,平层,板楼,19537.0,24888.0,↑3.54%,↑0.53%,18 套在售二手房,住宅,2.85,2014,40,1.5,0,70,1219.0,70,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
37,37,https://wuxi.esf.fang.com/chushou/3_172878148.htm,"业主急售,价格看中可谈(全新精装20万)双地铁口,看房随时!",河埒-梁溪路南侧、孙蒋路西侧,满五,距2号线大王基站约278米,[],213.0,3室1厅1卫,89,23933,30.0,172878148,中城誉品,1,普通住宅,平层,板楼,19554.0,24222.0,↓3.76%,↓0.16%,44 套在售二手房,住宅,2.3,2016,30,3.1,0,30,4108.0,70,3.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
38,38,https://wuxi.esf.fang.com/chushou/3_172890684.htm,"滨湖新体旁,大三房,装修很好,户型方正,采光很好,拎包入住。",体育中心-建筑路1222号,满五,优质教育,[],255.0,3室2厅2卫,132,19318,11.0,172890684,奥林花园,1,普通住宅,平层,板楼,19568.0,18421.0,↓2.45%,↓0.15%,65 套在售二手房,住宅,1.6,2011,41,1.8,0,44,2932.0,70,3.0,2.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
39,39,https://wuxi.esf.fang.com/chushou/3_172858513.htm,"大丁佳苑新出一房,中高楼层(采光10H)随时看房,诚心",河埒-梁溪路711号,满五,优质教育,距2号线河埒口站约344米,95.0,2室1厅1卫,68,13952,18.0,172858513,大丁佳苑,0,普通住宅,平层,板楼,19533.0,15959.0,↓8.48%,↓2.71%,44 套在售二手房,住宅,0.7,2009,30,1.26,0,30,3281.0,70,2.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
40,40,https://wuxi.esf.fang.com/chushou/3_172880517.htm,"河埒口精装修(单价di,手付可做3成)采光10h小区中间位置",河埒-梁溪路南侧、孙蒋路西侧,满五,距2号线大王基站约278米,[],215.0,3室2厅1卫,85,25273,34.0,172880517,中城誉品,1,普通住宅,平层,板楼,19557.0,24222.0,↓3.76%,↓0.16%,44 套在售二手房,住宅,2.3,2016,30,3.1,0,30,4108.0,70,3.0,2.0,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
41,41,https://wuxi.esf.fang.com/chushou/3_172880759.htm,"蠡湖香樟园,新出西边套,少有西边套,看房价格可谈的",蠡湖新城区-太湖大道(太湖大道与鸿桥路交汇处东南面),满五,优质教育,[],970.0,4室2厅3卫,268,36194,37.0,172880759,蠡湖香樟园,1,普通住宅,平层,板楼,19557.0,37084.0,↑4.69%,↑0.6%,35 套在售二手房,住宅,2.7,2016,48,2.36,0,107,2199.0,70,4.0,2.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
42,42,https://wuxi.esf.fang.com/chushou/3_172880871.htm,金色江南四期 142.08平3居 南向精装修 自住保养好,河埒-梁青路与景宜路交叉口东南面,满五,优质教育,距2号线小桃源站约782米,285.0,3室2厅2卫,142,20059,10.0,172880871,金色江南四期,1,普通住宅,平层,板楼,19557.0,20823.0,↓3.94%,↓0.38%,32 套在售二手房,住宅,1.2,2010,70,1.19,0,41,2359.0,70,3.0,2.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
43,43,https://wuxi.esf.fang.com/chushou/3_172881136.htm,送40万装修!保养很好景观楼层!南边俯瞰河埒口 北边看惠山,河埒-青祁路和梁溪路交叉西南角(河埒中心商务区),满五,优质教育,距2号线河埒口站约671米,270.0,3室2厅1卫,118,22881,17.0,172881136,无锡滨湖万达广场,1,普通住宅,平层,板楼,19557.0,22312.0,↓3.4%,↓2.91%,64 套在售二手房,住宅,1.95,2010,35,2.99,0,18,3574.0,70,3.0,2.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
44,44,https://wuxi.esf.fang.com/chushou/3_172858658.htm,新体家乐福旁边 南北通透大一房 客厅大 采光好 诚心出售,体育中心-隐秀路888号,满五,优质教育,[],48.0,1室1厅1卫,50,9581,7.0,172858658,西园里,0,普通住宅,平层,板楼,19533.0,12694.0,↓5.47%,↓0.61%,16 套在售二手房,住宅,0.5,2000,10,1.0,0,137,5446.0,70,1.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
